network,stations,st_lon,st_lat,st_elv,gr_cir_distance,rhypo,repi,mag,origint,Parrtime,collecttime,endtime,evlat,evlon,evdepth,channels
TA,F04D,-123.010803,46.082901,236.0,425.512799907996,425.6628159538178,425.5127999082211,2.5,2012-07-03T04:11:30.400000Z,58.78986765780974,2012-07-03T04:12:19.189868Z,2012-07-03T04:15:19.189868Z,42.411,-124.524,11300.0,BH*
TA,F04D,-123.010803,46.082901,236.0,142.39839579270452,142.52474565647475,142.39839579308054,2.8,2012-04-08T17:16:27.900000Z,24.41258694473226,2012-04-08T17:16:42.312587Z,2012-04-08T17:19:42.312587Z,45.185,-121.708,6000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,222.56851486498385,224.09362732875547,222.5685148653312,3.3,2012-03-12T11:37:21.950000Z,32.09616468368024,2012-03-12T11:37:44.046165Z,2012-03-12T11:40:44.046165Z,44.3558,-124.4455,26100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,389.189909695987,389.83399775985663,389.1899096963228,3.4,2012-02-26T10:15:11.500000Z,53.037707366942776,2012-02-26T10:15:54.537707Z,2012-02-26T10:18:54.537707Z,42.817,-124.778,22400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,193.49261672532728,194.1124486668526,193.4926167259141,2.5,2012-02-05T17:27:51.750000Z,29.593405303745243,2012-02-05T17:28:11.343405Z,2012-02-05T17:31:11.343405Z,45.129,-120.9358,15500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,66.15481031674854,66.77775773464698,66.15481031691651,3.5,2012-01-25T10:51:30.790000Z,11.505283073127686,2012-01-25T10:51:32.295283Z,2012-01-25T10:54:32.295283Z,46.342,-122.239,9100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,66.81671763635597,67.1823917088414,66.81671763653316,3.0,2012-01-23T03:07:30.510000Z,11.576822131140483,2012-01-23T03:07:32.086822Z,2012-01-23T03:10:32.086822Z,46.401,-122.2757,7000.0,BH*
TA,F04D,-123.010803,46.082901,236.0,73.49956350381532,77.44382373858993,73.49956350383167,3.0,2011-11-11T22:46:21.800000Z,12.879006153907694,2011-11-11T22:46:24.679006Z,2011-11-11T22:49:24.679006Z,45.4347,-122.8238,24400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,45.87152516916508,48.95515112176739,45.871525169271216,2.6,2011-10-19T19:51:07.750000Z,8.430576067858823,2011-10-19T19:51:06.180576Z,2011-10-19T19:54:06.180576Z,45.9552,-122.4475,17100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,193.65753315517048,194.7820580751048,193.657533155758,2.7,2011-10-18T12:25:30.850000Z,28.99302330651801,2011-10-18T12:25:49.843023Z,2011-10-18T12:28:49.843023Z,45.123,-120.939,20900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,114.63141314383007,115.98987403822969,114.63141314406091,2.5,2011-10-03T00:52:11.830000Z,19.325654742322147,2011-10-03T00:52:21.155655Z,2011-10-03T00:55:21.155655Z,45.2577,-123.8933,17700.0,BH*
TA,F04D,-123.010803,46.082901,236.0,44.00355030669493,46.65364336901326,44.00355030679996,2.7,2011-09-16T17:21:17.680000Z,8.03500787805694,2011-09-16T17:21:15.715008Z,2011-09-16T17:24:15.715008Z,45.7937,-122.6233,15500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,388.2914585105665,388.39344324059454,388.29145851059474,2.8,2011-08-06T00:05:20.160000Z,54.475581441860506,2011-08-06T00:06:04.635581Z,2011-08-06T00:09:04.635581Z,42.616,-122.401,8900.0,BH*
