evlon,evlats,evdepth,evM,evorigint
-122.6368,45.5135,17600.0,2.5,2009-09-05T00:17:17.000000Z
-122.3023,46.3385,15700.0,2.6,2009-08-31T05:46:08.050000Z
-120.104,45.933,4700.0,2.8,2009-08-16T09:52:39.720000Z
-121.822,42.304,3300.0,2.6,2009-08-13T21:17:35.570000Z
-119.988,45.933,18500.0,2.6,2009-08-11T18:41:07.980000Z
-122.45,45.079,18900.0,2.8,2009-08-06T07:41:58.940000Z
-120.963,45.129,17700.0,2.8,2009-07-18T09:23:13.680000Z
-122.6318,45.5198,16600.0,2.5,2009-07-08T12:20:29.470000Z
-120.943,45.123,19500.0,2.6,2009-06-06T17:45:10.620000Z
-120.11,45.833,10600.0,2.5,2009-05-10T16:30:24.000000Z
-120.946,45.13,16500.0,2.5,2009-04-20T21:59:18.300000Z
-120.9462,45.1284,15700.0,3.6,2009-04-20T21:41:51.790000Z
-121.656,42.029,3100.0,2.7,2009-04-02T22:28:16.950000Z
-120.959,45.135,15000.0,3.0,2009-03-20T22:44:50.720000Z
-122.304,46.329,15200.0,3.1,2009-03-20T04:42:36.990000Z
-123.8734,42.5783,43700.0,4.0,2009-02-26T09:52:48.500000Z
-122.191,46.196,900.0,2.9,2009-02-18T18:55:20.500000Z
